"","Country/Region","date.x","var","value","value_new","population","Lat","Long","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Continent","date.y"
"82","Bolivia",2020-04-10,"confirmed",268,4,331003000,-16.2902,-63.5887,268,4,19,1,2,247,3,23,2,591,51,"South America","2020-04-10"
"83","Bolivia",2020-04-10,"deaths",19,1,331003000,-16.2902,-63.5887,268,4,19,1,2,247,3,23,2,591,51,"South America","2020-04-10"
"84","Bolivia",2020-04-10,"recovered",2,0,331003000,-16.2902,-63.5887,268,4,19,1,2,247,3,23,2,591,51,"South America","2020-04-10"
"85","Bosnia and Herzegovina",2020-04-10,"active",721,31,3281000,14,14,886,28,36,1,129,721,4,270,11,6911,2106,"Europe","2020-04-10"
"86","Bosnia and Herzegovina",2020-04-10,"confirmed",886,28,3281000,17,5,886,28,36,1,129,721,4,270,11,6911,2106,"Europe","2020-04-10"
"87","Bosnia and Herzegovina",2020-04-10,"deaths",36,1,3281000,30,12,886,28,36,1,129,721,4,270,11,6911,2106,"Europe","2020-04-10"
"88","Bosnia and Herzegovina",2020-04-10,"recovered",129,22,3281000,16,16,886,28,36,1,129,721,4,270,11,6911,2106,"Europe","2020-04-10"
"89","Botswana",2020-04-10,"active",12,7,2352000,-22.3285,23,13,NA,1,NA,NA,12,NA,6,0.4,1154,491,"Africa","2020-04-10"
"90","Botswana",2020-04-10,"confirmed",13,NA,2352000,-22.3285,7,13,NA,1,NA,NA,12,NA,6,0.4,1154,491,"Africa","2020-04-10"
"91","Botswana",2020-04-10,"deaths",1,NA,2352000,-22.3285,16,13,NA,1,NA,NA,12,NA,6,0.4,1154,491,"Africa","2020-04-10"
"92","Botswana",2020-04-10,"recovered",NA,0,2352000,-22.3285,11,13,NA,1,NA,NA,12,NA,6,0.4,1154,491,"Africa","2020-04-10"
"93","Brazil",2020-04-10,"active",17250,1745,212559000,-14.235,-51.9253,18397,252,974,20,173,17250,296,87,5,62985,296,"South America","2020-04-10"
"94","Brazil",2020-04-10,"confirmed",18397,252,212559000,-14.235,-51.9253,18397,252,974,20,173,17250,296,87,5,62985,296,"South America","2020-04-10"
"95","Brazil",2020-04-10,"deaths",974,20,212559000,-14.235,-51.9253,18397,252,974,20,173,17250,296,87,5,62985,296,"South America","2020-04-10"
"96","Brazil",2020-04-10,"recovered",173,46,212559000,-14.235,-51.9253,18397,252,974,20,173,17250,296,87,5,62985,296,"South America","2020-04-10"
"97","Brunei",2020-04-10,"active",36,-1,97339000,1,93,136,1,1,NA,99,36,3,311,2,9342,21354,"Asia","2020-04-10"
"98","Brunei",2020-04-10,"confirmed",136,1,97339000,2,86,136,1,1,NA,99,36,3,311,2,9342,21354,"Asia","2020-04-10"
"99","Brunei",2020-04-10,"deaths",1,NA,97339000,1,97,136,1,1,NA,99,36,3,311,2,9342,21354,"Asia","2020-04-10"
"100","Brunei",2020-04-10,"recovered",99,1,97339000,4,30,136,1,1,NA,99,36,3,311,2,9342,21354,"Asia","2020-04-10"
"101","Bulgaria",2020-04-10,"active",556,19,6948000,41,20,635,17,25,1,54,556,33,91,4,18502,2663,"Europe","2020-04-10"
"102","Bulgaria",2020-04-10,"confirmed",635,17,6948000,28,1,635,17,25,1,54,556,33,91,4,18502,2663,"Europe","2020-04-10"
"103","Bulgaria",2020-04-10,"deaths",25,1,6948000,23,1,635,17,25,1,54,556,33,91,4,18502,2663,"Europe","2020-04-10"
"104","Bulgaria",2020-04-10,"recovered",54,6,6948000,42,16,635,17,25,1,54,556,33,91,4,18502,2663,"Europe","2020-04-10"
"105","Burkina Faso",2020-04-10,"active",273,16,20903000,6,-1.5616,443,NA,24,NA,146,273,NA,21,1,NA,NA,"Africa","2020-04-10"
"106","Burkina Faso",2020-04-10,"confirmed",443,NA,20903000,3,-1.5616,443,NA,24,NA,146,273,NA,21,1,NA,NA,"Africa","2020-04-10"
"107","Burkina Faso",2020-04-10,"deaths",24,NA,20903000,12,-1.5616,443,NA,24,NA,146,273,NA,21,1,NA,NA,"Africa","2020-04-10"
"108","Burkina Faso",2020-04-10,"recovered",146,12,20903000,12,-1.5616,443,NA,24,NA,146,273,NA,21,1,NA,NA,"Africa","2020-04-10"
"109","Burma",2020-04-10,"active",22,-1,145934000,13,57,27,4,3,NA,2,22,NA,0.5,0.06,1406,26,"Asia","2020-04-10"
"110","Burma",2020-04-10,"confirmed",27,4,145934000,9,13,27,4,3,NA,2,22,NA,0.5,0.06,1406,26,"Asia","2020-04-10"
"111","Burma",2020-04-10,"deaths",3,NA,145934000,8,69,27,4,3,NA,2,22,NA,0.5,0.06,1406,26,"Asia","2020-04-10"
"112","Burma",2020-04-10,"recovered",2,2,145934000,8,49,27,4,3,NA,2,22,NA,0.5,0.06,1406,26,"Asia","2020-04-10"
"113","Burundi",2020-04-10,"active",3,0,11891000,-3.3731,28,3,NA,NA,NA,NA,3,NA,0.3,NA,NA,NA,"Africa","2020-04-10"
"114","Burundi",2020-04-10,"confirmed",3,NA,11891000,-3.3731,15,3,NA,NA,NA,NA,3,NA,0.3,NA,NA,NA,"Africa","2020-04-10"
"115","Burundi",2020-04-10,"deaths",NA,NA,11891000,-3.3731,13,3,NA,NA,NA,NA,3,NA,0.3,NA,NA,NA,"Africa","2020-04-10"
"116","Burundi",2020-04-10,"recovered",NA,0,11891000,-3.3731,22,3,NA,NA,NA,NA,3,NA,0.3,NA,NA,NA,"Africa","2020-04-10"
"117","Cabo Verde",2020-04-10,"active",5,0,556000,9,-23.0418,7,NA,1,NA,1,5,NA,13,2,NA,NA,"Africa","2020-04-10"
"118","Cabo Verde",2020-04-10,"confirmed",7,NA,556000,6,-23.0418,7,NA,1,NA,1,5,NA,13,2,NA,NA,"Africa","2020-04-10"
"119","Cabo Verde",2020-04-10,"deaths",1,NA,556000,10,-23.0418,7,NA,1,NA,1,5,NA,13,2,NA,NA,"Africa","2020-04-10"
"120","Cabo Verde",2020-04-10,"recovered",1,0,556000,14,-23.0418,7,NA,1,NA,1,5,NA,13,2,NA,NA,"Africa","2020-04-10"
"121","Cambodia",2020-04-10,"active",47,3,16719000,7,36,119,NA,NA,NA,72,47,1,7,NA,5768,345,"Asia","2020-04-10"
"122","Cambodia",2020-04-10,"confirmed",119,NA,16719000,9,46,119,NA,NA,NA,72,47,1,7,NA,5768,345,"Asia","2020-04-10"
"123","Cambodia",2020-04-10,"deaths",NA,NA,16719000,4,79,119,NA,NA,NA,72,47,1,7,NA,5768,345,"Asia","2020-04-10"
"124","Cambodia",2020-04-10,"recovered",72,-1,16719000,9,44,119,NA,NA,NA,72,47,1,7,NA,5768,345,"Asia","2020-04-10"
